Coefficient,Estimate,2.5%,97.5%
2006Q1,0.008518516115559488,-0.00043621510338246426,0.017473247334501438
2006Q2,0.0026391171473523585,-0.006144095208923177,0.011422329503627895
2006Q3,-0.004645735113466467,-0.013169323246400287,0.0038778530194673536
2006Q4,-0.01372447144630342,-0.0219284372891733,-0.005520505603433543
2007Q1,0.0010369182476031166,-0.006844334876367162,0.008918171371573394
2007Q2,0.0019977445985363616,-0.005440824099940738,0.009436313297013462
2007Q3,-0.007962658831406118,-0.015410193200987278,-0.0005151244618249581
2007Q4,-0.01335026595581238,-0.02009083850881453,-0.006609693402810232
2008Q1,,,
2008Q2,-0.0003407801660612183,-0.007054920987238324,0.0063733606551158875
2008Q3,0.0012253374763824846,-0.0067114778201445785,0.009162152772909549
2008Q4,-0.02774804420271228,-0.03621578416231932,-0.019280304243105242
2009Q1,-0.0050467934535206385,-0.014247604106827632,0.004154017199786355
2009Q2,-0.0011296755053722789,-0.010346747225455154,0.008087396214710597
2009Q3,0.0045766277615182085,-0.004833123768983529,0.013986379292019947
2009Q4,0.007054281507531934,-0.0024314670722134484,0.016540030087277315
2010Q1,0.02153699007841841,0.011402831983636171,0.031671148173200644
2010Q2,0.025270699655943522,0.015324295565760072,0.03521710374612697
2010Q3,0.011887672809066815,0.0018420663305884644,0.021933279287545168
2010Q4,0.016141777526442937,0.006076363395668581,0.026207191657217292
2011Q1,0.03285747362239685,0.02258447356456728,0.04313047368022642
2011Q2,0.024083706665766355,0.013702125763978012,0.034465287567554695
2011Q3,0.021832259950703793,0.011230078021508053,0.03243444187989954
2011Q4,0.02200101349834119,0.01146901430588485,0.03253301269079753
